pm,y
14,40
40,35
35,27
27,37
37,37
37,39
39,33
33,68
68,84
84,32
32,21
21,24
24,23
23,24
24,30
30,18
18,21
21,42
42,30
30,34
34,38
38,33
33,18
18,25
25,60
60,49
49,25
25,20
20,22
22,18
18,38
38,30
30,17
17,24
24,21
21,22
22,18
18,34
34,32
32,34
34,48
48,62
62,47
47,33
33,27
27,21
21,23
23,35
35,34
34,23
23,28
28,25
25,23
23,22
22,55
55,73
73,40
40,36
36,0
0,0
0,0
0,56
56,26
26,37
37,83
83,101
101,34
34,34
34,52
52,64
64,68
68,56
56,50
50,21
21,16
16,32
32,71
71,36
36,5
5,11
11,17
17,25
25,34
34,43
43,57
57,55
55,10
10,40
40,22
22,28
28,29
29,20
20,13
13,19
19,24
24,33
33,39
39,41
41,40
40,46
46,43
43,26
26,35
35,32
32,22
22,10
10,14
14,23
23,31
31,42
42,37
37,39
39,39
39,44
44,47
47,46
46,0
0,0
0,75
75,71
71,10
10,16
16,0
0,50
50,34
34,35
35,38
38,29
29,31
31,29
29,18
18,14
14,16
16,26
26,36
36,32
32,31
31,19
19,24
24,35
35,44
44,39
39,37
37,34
34,37
37,41
41,47
47,49
49,20
20,25
25,25
25,23
23,26
26,26
26,29
29,29
29,32
32,27
27,16
16,8
8,10
10,19
19,25
25,27
27,24
24,16
16,18
18,10
10,16
16,24
24,27
27,28
28,24
24,29
29,29
29,32
32,20
20,16
16,31
31,14
14,9
9,12
12,11
11,13
13,0
0,17
17,27
27,25
25,16
16,26
26,31
31,22
22,21
21,19
19,20
20,18
18,12
12,21
21,21
21,15
15,21
21,15
15,13
13,21
21,27
27,21
21,17
17,21
21,16
16,16
16,28
28,17
17,18
18,24
24,16
16,12
