pm,y
14,40
40,45
45,30
30,46
46,39
39,44
44,43
43,71
71,89
89,34
34,18
18,23
23,25
25,32
32,34
34,18
18,20
20,42
42,33
33,52
52,55
55,41
41,16
16,34
34,57
57,46
46,28
28,19
19,20
20,17
17,34
34,28
28,0
0,0
0,22
22,20
20,20
20,31
31,44
44,37
37,52
52,74
74,46
46,35
35,32
32,19
19,23
23,44
44,41
41,25
25,26
26,27
27,24
24,23
23,57
57,77
77,34
34,34
34,0
0,0
0,0
0,54
54,28
28,41
41,80
80,93
93,32
32,33
33,52
52,63
63,67
67,65
65,59
59,23
23,20
20,28
28,64
64,35
35,7
7,11
11,19
19,25
25,34
34,46
46,68
68,59
59,9
9,38
38,25
25,30
30,33
33,0
0,0
0,23
23,27
27,39
39,40
40,41
41,48
48,46
46,45
45,28
28,33
33,28
28,25
25,13
13,16
16,20
20,28
28,42
42,39
39,42
42,41
41,45
45,53
53,48
48,55
55,26
26,72
72,67
67,11
11,14
14,0
0,43
43,33
33,35
35,37
37,31
31,31
31,31
31,16
16,16
16,18
18,28
28,41
41,37
37,33
33,20
20,26
26,40
40,51
51,40
40,41
41,38
38,42
42,47
47,51
51,57
57,19
19,23
23,32
32,26
26,27
27,26
26,33
33,30
30,37
37,26
26,16
16,10
10,11
11,23
23,29
29,28
28,30
30,18
18,22
22,11
11,19
19,34
34,33
33,27
27,28
28,29
29,27
27,32
32,19
19,17
17,28
28,14
14,9
9,10
10,13
13,12
12,0
0,17
17,29
29,24
24,16
16,30
30,27
27,15
15,21
21,20
20,24
24,17
17,19
19,25
25,22
22,19
19,26
26,17
17,16
16,24
24,29
29,19
19,18
18,20
20,15
15,19
19,32
32,18
18,20
20,24
24,20
20,15
