pm,y
23,47
47,55
55,38
38,63
63,50
50,62
62,0
0,0
0,111
111,41
41,25
25,31
31,31
31,43
43,40
40,23
23,27
27,56
56,45
45,51
51,56
56,51
51,22
22,41
41,63
63,68
68,30
30,22
22,28
28,26
26,44
44,35
35,23
23,28
28,0
0,26
26,25
25,40
40,53
53,48
48,66
66,80
80,55
55,38
38,34
34,26
26,27
27,44
44,44
44,29
29,33
33,27
27,26
26,26
26,62
62,85
85,43
43,46
46,0
0,0
0,0
0,56
56,31
31,47
47,88
88,124
124,40
40,49
49,67
67,78
78,76
76,66
66,68
68,23
23,19
19,39
39,79
79,37
37,9
9,13
13,17
17,27
27,38
38,54
54,70
70,66
66,12
12,43
43,26
26,33
33,35
35,22
22,18
18,27
27,30
30,43
43,46
46,0
0,0
0,46
46,45
45,28
28,34
34,33
33,27
27,14
14,17
17,23
23,30
30,43
43,44
44,41
41,39
39,41
41,49
49,43
43,53
53,27
27,79
79,69
69,10
10,16
16,0
0,48
48,34
34,35
35,38
38,31
31,33
33,29
29,17
17,16
16,20
20,26
26,34
34,27
27,32
32,20
20,25
25,35
35,43
43,37
37,38
38,35
35,36
36,42
42,48
48,54
54,19
19,30
30,27
27,25
25,26
26,28
28,38
38,29
29,35
35,23
23,17
17,11
11,13
13,21
21,24
24,25
25,28
28,17
17,21
21,11
11,15
15,25
25,27
27,26
26,26
26,28
28,20
20,29
29,17
17,13
13,25
25,11
11,7
7,7
7,8
8,11
11,0
0,18
18,28
28,22
22,14
14,21
21,26
26,16
16,18
18,16
16,15
15,15
15,11
11,17
17,18
18,15
15,21
21,14
14,12
12,18
18,26
26,18
18,16
16,23
23,14
14,17
17,28
28,15
15,19
19,26
26,16
16,11
