pm,y
15,39
39,43
43,33
33,46
46,37
37,54
54,43
43,66
66,86
86,34
34,21
21,26
26,25
25,37
37,34
34,21
21,24
24,46
46,33
33,44
44,50
50,41
41,16
16,31
31,59
59,45
45,24
24,20
20,19
19,16
16,34
34,25
25,17
17,24
24,21
21,19
19,18
18,32
32,47
47,37
37,58
58,65
65,45
45,34
34,29
29,19
19,20
20,38
38,39
39,21
21,25
25,24
24,22
22,22
22,55
55,77
77,34
34,41
41,0
0,0
0,0
0,55
55,27
27,42
42,81
81,97
97,28
28,38
38,59
59,68
68,71
71,66
66,61
61,21
21,21
21,37
37,70
70,34
34,6
6,12
12,17
17,24
24,0
0,46
46,68
68,58
58,12
12,37
37,23
23,33
33,36
36,20
20,14
14,22
22,25
25,36
36,43
43,40
40,43
43,45
45,46
46,28
28,36
36,33
33,26
26,12
12,16
16,20
20,27
27,0
0,0
0,46
46,47
47,47
47,50
50,45
45,56
56,33
33,78
78,73
73,11
11,16
16,0
0,45
45,36
36,40
40,41
41,34
34,36
36,33
33,17
17,16
16,21
21,29
29,37
37,34
34,33
33,19
19,28
28,40
40,51
51,40
40,40
40,38
38,39
39,44
44,51
51,59
59,23
23,38
38,32
32,25
25,29
29,33
33,31
31,32
32,39
39,27
27,18
18,14
14,13
13,24
24,29
29,31
31,33
33,19
19,23
23,13
13,20
20,32
32,31
31,25
25,23
23,26
26,23
23,31
31,18
18,14
14,26
26,12
12,10
10,9
9,10
10,11
11,0
0,18
18,24
24,21
21,13
13,25
25,26
26,18
18,19
19,18
18,18
18,17
17,13
13,20
20,20
20,17
17,22
22,15
15,13
13,20
20,27
27,19
19,16
16,19
19,13
13,17
17,27
27,17
17,18
18,25
25,18
18,11
