pm,y
16,44
44,45
45,34
34,60
60,41
41,57
57,42
42,78
78,97
97,34
34,22
22,26
26,28
28,39
39,38
38,20
20,22
22,45
45,38
38,51
51,57
57,41
41,19
19,35
35,64
64,48
48,29
29,21
21,23
23,20
20,39
39,31
31,18
18,26
26,23
23,25
25,22
22,34
34,50
50,42
42,58
58,73
73,47
47,38
38,30
30,21
21,24
24,37
37,42
42,25
25,28
28,26
26,26
26,25
25,59
59,88
88,38
38,42
42,0
0,0
0,0
0,60
60,29
29,44
44,90
90,102
102,35
35,42
42,63
63,75
75,80
80,71
71,62
62,24
24,24
24,34
34,73
73,37
37,8
8,15
15,21
21,27
27,37
37,50
50,71
71,62
62,11
11,41
41,25
25,29
29,35
35,24
24,16
16,21
21,27
27,38
38,41
41,38
38,45
45,45
45,46
46,27
27,33
33,28
28,26
26,13
13,16
16,19
19,27
27,42
42,40
40,0
0,0
0,46
46,49
49,44
44,53
53,24
24,78
78,73
73,11
11,16
16,0
0,47
47,35
35,37
37,39
39,32
32,32
32,31
31,18
18,14
14,18
18,27
27,36
36,34
34,30
30,19
19,25
25,38
38,49
49,39
39,39
39,34
34,38
38,44
44,50
50,56
56,18
18,30
30,0
0,25
25,24
24,25
25,31
31,28
28,35
35,26
26,15
15,10
10,11
11,23
23,27
27,28
28,30
30,18
18,21
21,9
9,17
17,0
0,33
33,24
24,24
24,27
27,22
22,30
30,19
19,14
14,24
24,13
13,9
9,9
9,11
11,12
12,0
0,17
17,26
26,19
19,14
14,23
23,24
24,15
15,19
19,18
18,20
20,17
17,15
15,18
18,18
18,15
15,22
22,16
16,12
12,21
21,26
26,17
17,17
17,18
18,13
13,17
17,27
27,15
15,19
19,24
24,19
19,12
