pm,y
15,41
41,39
39,33
33,51
51,38
38,44
44,36
36,72
72,91
91,37
37,23
23,29
29,25
25,29
29,31
31,21
21,23
23,44
44,36
36,40
40,48
48,37
37,16
16,34
34,60
60,47
47,29
29,23
23,23
23,18
18,38
38,31
31,19
19,26
26,25
25,23
23,21
21,34
34,42
42,36
36,50
50,66
66,42
42,34
34,31
31,21
21,23
23,34
34,38
38,25
25,29
29,27
27,25
25,25
25,58
58,77
77,38
38,41
41,0
0,0
0,0
0,51
51,29
29,39
39,75
75,101
101,35
35,41
41,81
81,68
68,71
71,57
57,55
55,23
23,21
21,35
35,64
64,36
36,8
8,14
14,16
16,26
26,37
37,44
44,57
57,56
56,10
10,41
41,23
23,29
29,32
32,23
23,20
20,22
22,28
28,38
38,38
38,42
42,43
43,41
41,42
42,27
27,33
33,29
29,25
25,14
14,19
19,20
20,26
26,41
41,40
40,36
36,38
38,41
41,49
49,40
40,52
52,0
0,0
0,0
0,9
9,14
14,0
0,44
44,29
29,30
30,33
33,28
28,28
28,27
27,17
17,15
15,19
19,28
28,37
37,31
31,28
28,19
19,20
20,31
31,40
40,35
35,33
33,32
32,34
34,41
41,45
45,48
48,20
20,26
26,25
25,20
20,27
27,27
27,26
26,29
29,33
33,24
24,16
16,11
11,11
11,23
23,22
22,22
22,25
25,17
17,22
22,12
12,15
15,25
25,28
28,23
23,23
23,28
28,21
21,28
28,15
15,13
13,23
23,11
11,7
7,8
8,9
9,10
10,0
0,16
16,24
24,16
16,11
11,20
20,21
21,13
13,18
18,18
18,17
17,16
16,14
14,17
17,20
20,14
14,19
19,12
12,0
0,0
0,25
25,17
17,14
14,18
18,13
13,15
15,25
25,14
14,18
18,23
23,17
17,12
